Date,Description,Amount,Category
10-04-2025,Mobile Recharge,499,Utilities
12-04-2025,Therapy Session,1000,Health & Fitness
14-04-2025,Online Subscription Service,199,Subscriptions
16-04-2025,Lunch Delivery,750,Food & Drink
20-04-2025,Bus Fare,50,Transportation
22-04-2025,Pet Food,800,Pets
24-04-2025,GROCERY MART 3344,1100,Groceries
27-04-2025,Amazon.com*Tools,1200,Shopping
29-04-2025,Transfer to Brokerage,5000,Financial
03-05-2025,Coffee at Airport,450,Food & Drink
06-05-2025,Uber to Airport,600,Transportation
08-05-2025,Flight Ticket Home,3500,Travel
10-05-2025,Water Bill May,650,Utilities
12-05-2025,Gym Dues,1500,Health & Fitness
14-05-2025,Movie Night,700,Entertainment
17-05-2025,GROCERY MART 5566,1300,Groceries
19-05-2025,Dinner Out,3100,Food & Drink
21-05-2025,Bus Ticket,100,Transportation
23-05-2025,New Watch,4800,Shopping
25-05-2025,Credit Card Interest,150,Financial
27-05-2025,Birthday Gift for Friend,1000,Other
30-05-2025,Internet Bill May,999,Utilities
02-06-2025,WHOLE FOODS 1001,1050,Groceries
06-06-2025,Starbucks Lunch,600,Food & Drink
08-06-2025,Taxi Ride,350,Transportation
10-06-2025,Electrician Call Out,2000,Home Maintenance
12-06-2025,Amazon.com*Gardening,400,Shopping
14-06-2025,Spotify Premium,129,Subscriptions
16-06-2025,Pharmacy,550,Health & Fitness
18-06-2025,Bus Pass Reload,500,Transportation
21-06-2025,GROCERY MART 7788,1400,Groceries
24-06-2025,Lunch with Coworkers,900,Food & Drink
26-06-2025,Gym Class Drop-in,300,Health & Fitness
29-06-2025,Transfer to Wife,2000,Transfer
04-07-2025,Local Cafe,350,Food & Drink
06-07-2025,Uber Commute,450,Transportation
08-07-2025,Water Bill July,650,Utilities
10-07-2025,Online Course Payment,4000,Education
12-07-2025,Amazon.com*Toys,700,Shopping
14-07-2025,Netflix Subscription,499,Subscriptions
16-07-2025,Massage,1500,Health & Fitness
18-07-2025,Bus Ticket,50,Transportation
21-07-2025,GROCERY MART 9900,1150,Groceries
24-07-2025,Dinner at Hotel,4500,Food & Drink
26-07-2025,Amazon.com*Camera,15000,Shopping
29-07-2025,Mobile Bill July,850,Utilities
31-07-2025,Movie Tickets,600,Entertainment
02-08-2025,WHOLE FOODS 3030,1350,Groceries
06-08-2025,Tea Stall,100,Food & Drink
08-08-2025,Train Ticket,800,Transportation
10-08-2025,Subscription - Spotify,129,Subscriptions
12-08-2025,New Shoes,3500,Shopping
14-08-2025,Electric Bill Aug,1800,Utilities
16-08-2025,Hospital Visit,2000,Health & Fitness
20-08-2025,Public Transit Pass,500,Transportation
22-08-2025,GROCERY MART 1111,950,Groceries
24-08-2025,Dinner & Drinks,3200,Food & Drink
26-08-2025,Amazon.com*Games,500,Entertainment
28-08-2025,Transfer to Investment Fund,8000,Financial
30-08-2025,Internet Bill Aug,999,Utilities
